Designator,Mid X,Mid Y,Rotation,Layer
BT1,2.100001,99.060001,270.0,top
BT2,55.4,180.3,270.0,bottom
C1,116.649999,180.799999,90.0,top
C10,5.4,169.05,0.0,top
C11,5.4,176.550001,0.0,top
C12,111.8,134.742662,270.0,top
C13,11.95,168.8,180.0,top
C14,87.7,140.85,180.0,top
C15,87.7,133.35,180.0,top
C16,5.5,184.5,0.0,top
C17,5.55,191.999999,0.0,top
C18,96.45,134.35,180.0,top
C19,11.9,184.3,180.0,top
C2,44.086292,96.599495,270.0,top
C20,100.649999,133.38,180.0,top
C21,94.2,143.35,180.0,top
C22,100.649999,140.85,180.0,top
C23,91.95,134.35,0.0,top
C24,63.287501,119.699999,0.0,top
C25,72.200001,119.699999,0.0,top
C26,65.800001,117.449999,180.0,top
C27,67.65,126.699999,180.0,top
C28,67.700002,119.7,180.0,top
C29,61.199999,112.049999,90.0,top
C3,121.4,96.699999,270.0,top
C30,62.800001,136.399999,0.0,top
C31,90.4,122.0,180.0,top
C32,110.899999,109.750002,90.0,top
C33,99.4,109.800001,90.0,top
C34,97.4,127.5,180.0,top
C35,100.4,117.5,0.0,top
C36,108.4,127.5,0.0,top
C37,71.8,136.399999,0.0,top
C38,25.866283,31.905325,270.0,top
C39,30.346281,31.905325,270.0,top
C4,82.520479,183.025801,180.0,top
C40,67.400002,136.5,180.0,top
C41,67.400001,142.9,180.0,top
C42,65.400001,133.9,180.0,top
C43,23.596283,31.905326,270.0,top
C44,28.096285,31.905325,270.0,top
C45,36.548141,57.477662,90.0,top
C46,36.548141,46.477662,90.0,top
C47,36.548141,68.477662,90.0,top
C48,44.55,139.900001,180.0,top
C49,46.549998,137.65,180.0,top
C5,86.820479,183.025803,0.0,top
C56,64.370478,97.025803,180.0,top
C57,100.725803,96.729522,180.0,top
C58,52.370478,97.025803,180.0,top
C59,112.725803,96.729523,180.0,top
C6,97.320479,183.175801,180.0,top
C60,8.123225,133.076779,180.0,top
C61,8.123225,128.576779,180.0,top
C62,8.123225,121.826778,180.0,top
C63,8.123225,119.576777,180.0,top
C64,8.123222,117.326778,180.0,top
C65,13.673224,118.326776,0.0,top
C66,17.048224,117.576778,270.0,top
C67,20.373226,118.326778,180.0,top
C68,26.123223,115.476778,0.0,top
C69,26.123223,113.226777,0.0,top
C7,92.770478,183.175802,180.0,top
C70,26.123225,124.476778,0.0,top
C71,27.873222,117.726777,0.0,top
C72,77.300001,143.349999,270.0,top
C73,47.429291,128.729289,180.0,top
C74,19.873224,137.576777,90.0,top
C75,25.873222,137.576778,90.0,top
C76,5.29814,135.277662,180.0,top
C77,129.848141,172.077662,0.0,top
C78,30.348141,182.477662,180.0,top
C79,34.548141,182.477662,0.0,top
C8,84.450001,201.3,0.0,top
C80,122.618852,165.856951,270.0,top
C81,120.318852,165.856953,90.0,top
C82,126.318851,158.706951,270.0,top
C83,128.618852,160.027662,270.0,top
C9,46.850001,184.0,180.0,top
D1,16.350001,95.95,270.0,top
D2,80.900002,168.649999,180.0,top
D3,5.4,72.8,270.0,top
D4,37.037641,193.555324,180.0,top
D5,82.753141,190.472661,180.0,top
D6,82.753141,188.212662,180.0,top
D7,58.229291,134.729289,270.0,top
D8,14.348141,114.077662,270.0,top
D9,19.848141,113.977662,270.0,top
IC1,96.070477,177.425802,270.0,top
IC10,53.729291,129.479289,180.0,top
IC2,54.900001,180.8,0.0,top
IC3,108.046141,134.742662,0.0,top
IC4,94.2,138.85,0.0,top
IC5,63.875,112.079999,270.0,top
IC6,16.873223,127.826777,0.0,top
IC7,113.413141,109.707662,270.0,top
IC8,101.888141,109.857662,270.0,top
IC9,102.9,125.5,0.0,top
J1,125.799999,182.550001,90.0,top
J2,131.548141,88.417662,90.0,top
J3,131.8,144.139999,90.0,top
J4,79.250001,198.3,90.0,top
J5,0.1,172.79,270.0,top
J6,-0.1,188.235,270.0,top
J8,131.796281,127.717662,90.0,top
J9,133.408851,163.76195,90.0,top
K1,16.735641,62.877662,90.0,top
L1,106.548141,62.879008,90.0,top
L2,57.548141,62.879008,90.0,top
NT1,122.248141,173.027662,90.0,bottom
P1,36.730001,199.59,0.0,top
P2,57.050001,199.59,0.0,top
P3,30.116001,151.329999,0.0,top
P4,54.500001,151.329999,0.0,top
Q1,12.600001,96.949999,0.0,top
Q10,76.187441,67.699999,270.0,top
Q11,96.900001,44.639301,0.0,top
Q12,68.400001,44.639301,0.0,top
Q13,106.900001,44.6393,0.0,top
Q14,58.400001,44.639301,0.0,top
Q2,8.85,95.450001,90.0,top
Q3,2.25,148.2,0.0,top
Q4,124.8,141.6,180.0,top
Q5,87.460699,67.699999,90.0,top
Q6,76.204741,55.699999,270.0,top
Q7,83.148141,24.3,0.0,top
Q8,47.148141,24.300001,0.0,top
Q9,87.460699,55.699999,90.0,top
R1,12.600001,93.95,0.0,top
R10,18.4,170.3,0.0,top
R11,18.4,175.3,0.0,top
R12,18.4,172.8,0.0,top
R13,87.7,138.34,0.0,top
R14,87.7,135.86,0.0,top
R15,5.5875,187.0,0.0,top
R16,5.5,189.5,0.0,top
R17,100.7,143.35,0.0,top
R18,18.4875,185.799999,0.0,top
R19,18.4875,190.8,0.0,top
R2,80.87,170.789998,0.0,top
R20,18.4875,188.3,0.0,top
R21,100.649999,135.88,180.0,top
R22,100.649999,138.35,180.0,top
R23,63.287501,121.95,0.0,top
R24,72.200001,121.949999,180.0,top
R25,37.348141,35.967662,0.0,top
R26,69.550002,117.449999,180.0,top
R27,62.800001,138.899999,0.0,top
R28,71.8,138.899999,180.0,top
R29,77.300001,139.4,270.0,top
R3,5.25,148.2,270.0,top
R30,69.400001,133.899999,180.0,top
R31,74.8,140.399999,270.0,top
R32,74.8,136.399999,270.0,top
R33,53.462499,144.149999,180.0,top
R34,115.438141,44.877662,270.0,top
R35,94.1,123.5,90.0,top
R36,96.403141,28.397662,270.0,top
R37,60.403141,28.557662,270.0,top
R38,109.7,120.3,0.0,top
R39,109.7,122.8,0.0,top
R4,121.8,141.6,90.0,top
R40,97.4875,124.0,0.0,top
R41,101.200001,121.8,0.0,top
R42,105.2,121.8,180.0,top
R43,48.793141,44.797662,90.0,top
R44,6.873222,130.826778,0.0,top
R45,4.535723,121.826778,180.0,top
R46,8.123225,124.076779,0.0,top
R47,8.123225,137.576779,90.0,top
R48,10.373225,137.576778,270.0,top
R49,12.873225,137.576778,270.0,top
R5,17.735641,154.577662,0.0,top
R50,17.373224,137.576777,270.0,top
R51,26.123223,129.0,0.0,top
R52,15.123225,137.576779,270.0,top
R53,26.123226,131.3,0.0,top
R54,29.960723,113.226777,0.0,top
R55,26.123225,126.726778,180.0,top
R56,26.123224,119.976778,180.0,top
R57,28.623222,140.326778,270.0,top
R58,22.623225,140.326778,270.0,top
R59,26.123223,122.226777,0.0,top
R6,22.160641,154.577662,180.0,top
R60,85.548141,44.877662,180.0,top
R61,79.560641,47.377662,180.0,top
R62,85.548141,47.377662,0.0,top
R63,90.221281,42.377662,0.0,top
R64,74.960641,42.377662,0.0,top
R65,79.5325,44.877662,180.0,top
R66,90.221281,47.377662,0.0,top
R67,74.960641,47.377662,180.0,top
R68,8.123222,126.326778,0.0,top
R69,26.123226,110.976778,180.0,top
R7,37.060141,196.212662,180.0,top
R70,85.548141,42.377662,180.0,top
R71,90.221281,44.755325,180.0,top
R72,79.5325,42.377662,0.0,top
R73,74.960641,44.877662,0.0,top
R74,15.623224,144.326777,0.0,top
R75,19.285724,144.326776,180.0,top
R76,38.635641,176.277662,0.0,top
R77,78.735641,190.427662,0.0,top
R78,78.748141,188.177662,0.0,top
R8,5.4,171.56,0.0,top
R9,5.4,174.040001,0.0,top
TP1,110.899998,184.05,180.0,top
TP10,7.648141,43.927662,0.0,top
TP11,132.618852,155.676951,270.0,top
TP2,131.400001,100.2,0.0,top
TP3,123.250001,196.149999,0.0,top
TP4,87.520478,169.775802,270.0,top
TP5,97.820478,169.925802,270.0,top
TP6,22.623224,136.576778,90.0,top
TP7,28.623223,136.576778,90.0,top
U1,85.770479,177.025802,90.0,top
U10,126.218852,163.706951,270.0,top
U2,11.9,172.8,270.0,top
U3,11.9,188.3,270.0,top
U4,67.700001,123.449999,180.0,top
U5,67.450001,139.85,180.0,top
U6,90.4,125.537338,0.0,top
U7,105.2,118.8,0.0,top
U8,50.049999,140.9,180.0,top
U9,32.498141,178.227662,270.0,top
